order_id,customer_id,product_id,order_date,quantity,discount,price,sales,profit
1,285,196,2023-01-01 00:00:00,5,0.24,1002.85,3810.83,987.38
2,4,91,2023-01-01 01:00:00,2,0.04,732.74,1406.86,230.16
3,465,18,2023-01-01 02:00:00,6,0.29,1730.98,7373.97,1458.12
4,99,149,2023-01-01 03:00:00,9,0.19,1767.7,12886.53,2364.4
5,397,104,2023-01-01 04:00:00,1,0.27,486.44,355.1,101.13
6,489,151,2023-01-01 05:00:00,4,0.13,107.03,372.46,86.18
7,39,192,2023-01-01 06:00:00,1,0.1,1528.61,1375.75,387.05
8,271,195,2023-01-01 07:00:00,1,0.27,681.04,497.16,52.2
9,375,40,2023-01-01 08:00:00,8,0.03,1746.69,13554.31,1728.98
10,285,138,2023-01-01 09:00:00,2,0.04,1604.98,3081.56,208.71
11,157,89,2023-01-01 10:00:00,1,0.09,413.55,376.33,65.85
12,75,180,2023-01-01 11:00:00,8,0.29,636.88,3617.48,971.22
13,372,200,2023-01-01 12:00:00,4,0.19,583.57,1890.77,249.04
14,288,61,2023-01-01 13:00:00,3,0.17,610.12,1519.2,124.68
15,130,192,2023-01-01 14:00:00,4,0.21,1528.61,4830.41,324.18
16,175,5,2023-01-01 15:00:00,5,0.13,126.88,551.93,89.34
17,462,122,2023-01-01 16:00:00,1,0.23,1460.67,1124.72,102.36
18,84,181,2023-01-01 17:00:00,1,0.12,1430.94,1259.23,171.92
19,22,55,2023-01-01 18:00:00,3,0.25,864.65,1945.46,496.08
20,459,37,2023-01-01 19:00:00,6,0.08,1250.93,6905.13,1008.23
21,27,56,2023-01-01 20:00:00,1,0.08,871.65,801.92,162.36
22,195,187,2023-01-01 21:00:00,2,0.16,1749.5,2939.16,515.94
23,337,102,2023-01-01 22:00:00,7,0.13,1640.87,9992.9,2294.7
24,382,93,2023-01-01 23:00:00,1,0.19,1939.75,1571.2,139.9
25,236,197,2023-01-02 00:00:00,7,0.11,1552.29,9670.77,2708.88
26,440,73,2023-01-02 01:00:00,4,0.07,224.35,834.58,176.02
27,92,59,2023-01-02 02:00:00,6,0.14,265.42,1369.57,161.25
28,477,2,2023-01-02 03:00:00,8,0.17,481.36,3196.23,258.3
29,21,193,2023-01-02 04:00:00,9,0.04,97.94,846.2,73.98
30,303,104,2023-01-02 05:00:00,6,0.17,486.44,2422.47,595.12
31,464,188,2023-01-02 06:00:00,9,0.1,1948.3,15781.23,3109.34
32,357,51,2023-01-02 07:00:00,4,0.12,1273.64,4483.21,650.92
33,443,30,2023-01-02 08:00:00,6,0.08,177.44,979.47,130.49
34,84,11,2023-01-02 09:00:00,8,0.28,116.19,669.25,176.64
35,262,108,2023-01-02 10:00:00,9,0.21,228.4,1623.92,436.33
36,147,76,2023-01-02 11:00:00,3,0.08,1892.23,5222.55,1020.05
37,441,167,2023-01-02 12:00:00,2,0.19,1102.97,1786.81,323.66
38,453,90,2023-01-02 13:00:00,6,0.25,1570.19,7065.86,1795.52
39,387,123,2023-01-02 14:00:00,4,0.12,1016.96,3579.7,849.58
40,257,200,2023-01-02 15:00:00,1,0.25,583.57,437.68,65.69
41,58,191,2023-01-02 16:00:00,8,0.05,303.67,2307.89,163.13
42,380,192,2023-01-02 17:00:00,9,0.25,1528.61,10318.12,2498.28
43,422,189,2023-01-02 18:00:00,9,0.16,1939.31,14661.18,1351.4
44,15,125,2023-01-02 19:00:00,2,0.07,479.36,891.61,48.23
45,162,182,2023-01-02 20:00:00,9,0.12,181.33,1436.13,374.58
46,445,122,2023-01-02 21:00:00,7,0.3,1460.67,7157.28,1392.55
47,163,94,2023-01-02 22:00:00,5,0.24,1773.38,6738.84,1839.14
48,320,103,2023-01-02 23:00:00,7,0.17,487.66,2833.3,484.91
49,497,186,2023-01-03 00:00:00,9,0.03,139.2,1215.22,342.23
50,281,184,2023-01-03 01:00:00,8,0.13,724.47,5042.31,698.32
51,280,162,2023-01-03 02:00:00,6,0.08,1253.01,6916.62,1598.64
52,12,31,2023-01-03 03:00:00,4,0.02,664.82,2606.09,326.4
53,274,52,2023-01-03 04:00:00,1,0.16,1753.67,1473.08,74.08
54,271,89,2023-01-03 05:00:00,6,0.27,413.55,1811.35,262.53
55,492,76,2023-01-03 06:00:00,3,0.2,1892.23,4541.35,1064.68
56,208,129,2023-01-03 07:00:00,6,0.07,1015.54,5666.71,495.87
57,27,183,2023-01-03 08:00:00,6,0.17,1185.23,5902.45,1040.01
58,72,22,2023-01-03 09:00:00,4,0.28,122.16,351.82,36.27
59,60,40,2023-01-03 10:00:00,2,0.22,1746.69,2724.84,187.08
60,430,101,2023-01-03 11:00:00,9,0.21,350.1,2489.21,508.7
61,473,111,2023-01-03 12:00:00,2,0.29,302.55,429.62,123.73
62,145,129,2023-01-03 13:00:00,3,0.24,1015.54,2315.43,295.62
63,93,65,2023-01-03 14:00:00,1,0.04,84.85,81.46,15.9
64,309,191,2023-01-03 15:00:00,7,0.1,303.67,1913.12,551.75
65,8,182,2023-01-03 16:00:00,1,0.29,181.33,128.74,27.37
66,79,170,2023-01-03 17:00:00,9,0.15,1534.0,11735.1,2561.52
67,27,149,2023-01-03 18:00:00,1,0.03,1767.7,1714.67,162.43
68,174,79,2023-01-03 19:00:00,5,0.14,375.72,1615.6,279.75
69,50,22,2023-01-03 20:00:00,7,0.21,122.16,675.54,95.77
70,500,166,2023-01-03 21:00:00,3,0.3,1286.31,2701.25,453.11
71,199,99,2023-01-03 22:00:00,9,0.1,1528.57,12381.42,3097.91
72,387,8,2023-01-03 23:00:00,8,0.15,402.12,2734.42,451.66
73,349,190,2023-01-04 00:00:00,3,0.26,1511.82,3356.24,220.55
74,448,175,2023-01-04 01:00:00,5,0.11,1867.45,8310.15,2296.8
75,428,17,2023-01-04 02:00:00,7,0.03,974.72,6618.35,1232.36
76,181,17,2023-01-04 03:00:00,4,0.28,974.72,2807.19,789.17
77,24,90,2023-01-04 04:00:00,5,0.15,1570.19,6673.31,1288.54
78,316,141,2023-01-04 05:00:00,3,0.15,1741.22,4440.11,299.3
79,378,145,2023-01-04 06:00:00,9,0.19,1376.27,10033.01,1888.39
80,387,166,2023-01-04 07:00:00,9,0.0,1286.31,11576.79,2245.14
81,404,81,2023-01-04 08:00:00,7,0.28,501.76,2528.87,261.95
82,46,78,2023-01-04 09:00:00,2,0.11,1246.15,2218.15,372.11
83,15,173,2023-01-04 10:00:00,7,0.12,716.65,4414.56,727.79
84,153,6,2023-01-04 11:00:00,7,0.05,1425.87,9482.04,1950.64
85,222,163,2023-01-04 12:00:00,5,0.11,1963.31,8736.73,1003.88
86,206,110,2023-01-04 13:00:00,9,0.24,567.92,3884.57,759.19
87,455,14,2023-01-04 14:00:00,3,0.24,1852.57,4223.86,465.63
88,273,72,2023-01-04 15:00:00,4,0.28,1583.37,4560.11,736.97
89,382,189,2023-01-04 16:00:00,1,0.12,1939.31,1706.59,137.68
90,236,143,2023-01-04 17:00:00,6,0.21,1682.18,7973.53,473.03
91,340,54,2023-01-04 18:00:00,4,0.15,1548.13,5263.64,685.05
92,228,27,2023-01-04 19:00:00,1,0.24,1407.76,1069.9,126.94
93,9,13,2023-01-04 20:00:00,2,0.21,629.83,995.13,151.0
94,166,159,2023-01-04 21:00:00,3,0.11,1039.56,2775.63,806.31
95,432,163,2023-01-04 22:00:00,9,0.1,1963.31,15902.81,2871.37
96,444,60,2023-01-04 23:00:00,8,0.08,741.51,5457.51,1027.62
97,319,6,2023-01-05 00:00:00,7,0.17,1425.87,8284.3,2364.34
98,214,197,2023-01-05 01:00:00,4,0.29,1552.29,4408.5,1235.64
99,117,58,2023-01-05 02:00:00,1,0.06,515.62,484.68,131.36
100,386,49,2023-01-05 03:00:00,8,0.03,833.77,6470.06,482.01
